Season,Episode,Seasonnum,Episodenum,Airdate,Airyear,Host,HostClean,MusicalGuest,Description,Gender,GenderNum,Profession
S1,Ep20,1,20,05/15/1976,1976,Dyan Cannon,Dyan Cannon,Leon & Mary Russell,"The host for the episode is Dyan Cannon, and the musical guests are Leon & Mary Russell. The skits for this episode are as follows: Chevy Chase, lying on his back after a tremendous fall, is informed that the control room clock was running fast and he'll have to do it all again to get it on air. During her opening monologue, Dyan Cannon confesses to a lifelong dream of being swept off her feet by a man on a white horse, and during the rest of the show, different male cast members attempt to re-interpret its meaning to make themselves her dream man. A woman takes a ...",F,1,Actor
S1,Ep21,1,21,05/22/1976,1976,Buck Henry,Buck Henry,Gordon Lightfoot,"The host for the episode is Buck Henry (his second appearance), and the musical guest is Gordon Lightfoot. The skits for this episode are as follows: Chevy Chase announces that because he broke his ankle accepting his Emmy Award, his fall will be done by Laraine Newman, but Laraine instead shoves him off the stage. Buck Henry is supposed to come on for his opening monologue, but is nowhere to be found; after a frantic search, the crew discovers that the security guards don't recognize him and won't let him in the building. Lounge singer Peter Lemon advertises a mood ...",M,0,Other
S1,Ep22,1,22,05/29/1976,1976,Elliott Gould,Elliott Gould,"Leon Redbone, Harlan Collins & Joyce Everson","The host for the episode is Elliott Gould (his second appearance), and the musical guests are Leon Redbone (his second appearance), Harlan Collins and Joyce Everson. The skits for this episode include scenes inside a wax museum and a European poker player, as well as a presentation by Shirley Temple Black. Re-run ads inform viewers how they can join the fast-paced life of stand-by operators, and asks America to show their guns. A doctor warns a woman that she's been neglecting the proper care of her uvula. The crew of The Enterprise faces their final foe: network ...",M,0,Actor
S1,Ep23,1,23,07/24/1976,1976,Louise Lasser,Louise Lasser,Preservation Hall Jazz Band,"The host for the episode is Louise Lasser, and the musical guest is The Preservation Hall Jazz Band. The skits for this episode are as follows: John Belushi and Chevy Chase have an argument over how the opening to the show should be done. After Louise Lasser's opening monologue, General Idi Amin comes on to warn viewers about the importance of checking oneself for V.D., using himself as an example of the effects of advanced-stage syphilis. In a parody of Swedish films, a couple involved in a secret affair fool death by sending him out for a pizza. An advertisement ...",F,1,Actor
S1,Ep24,1,24,07/31/1976,1976,Kris Kristofferson,Kris Kristofferson,Rita Coolidge,"The host for the episode is Kris Kristofferson, and the musical guest is Rita Coolidge. The skits for this episode are as follows: Kris Kristofferson sings ""Help Me Make It Through The Night"" after Chevy Chase falls out of bed, where he was with musical guest Rita Coolidge. After Kris' monologue, secretary Sherry Norwalk talks about how she got a job at SNL helping the writers come up with ideas by having sex with them. The Samurai general practitioner treats one of his patients. Jesse Owens presents a set of commemorative medals honoring white athletes. A clip from a...",M,0,Actor
S2,Ep1,2,1,09/18/1976,1976,Lily Tomlin,Lily Tomlin,James Taylor,"The host for the episode is Lily Tomlin (her second appearance), and the musical guest is James Taylor. The skits for this episode are as follows: For the opening skit, everyone is waiting around for Lily Tomlin to arrive, but she shows up late and announces she's not going to bother rehearsing for the show. After Lily's opening monologue, she begins talking about what she really thinks of the show, thinking that her microphone is off. President Ford gets into a strange debate with Jimmy Carter. During the Weekend Update, Laraine Newman reports on an outbreak of ...",F,1,Actor
S2,Ep2,2,2,09/25/1976,1976,Norman Lear,Norman Lear,Boz Scaggs,"The host for the episode is Norman Lear, and the musical guest is Boz Scaggs. The skits for this episode are as follows: Chevy Chase, in the hospital after injuring himself in the previous episode, coaches Gilda Radner through the opening via telephone. Norman Lear gets to hear what the actors in his shows really think of him. Jimmy Carter discusses lust in his heart and looks forward to more lusting as president. Norman Lear reviews the pilot of a new show about a family of snake handlers in Pittsburgh. During the Weekend Update, Jane Curtain discusses the ...",M,0,Other
S2,Ep3,2,3,10/02/1976,1976,Eric Idle,Eric Idle,Joe Cocker & Stuff,"The host for the episode is Eric Idle, and the musical guests are Joe Cocker and Stuff. The skits for this episode are as follows: A Chevy Chase impersonator attempts to do the opening fall. Eric Idle starts to perform a song, but is convinced by Jane Curtain to put it off until the end of the show. A young couple discusses assembling their new child with the help of a geneticist who presents them with bizarre options. A DJ attempts to work two stations simultaneously, maintaining opposite personas for each one. Baba Wawa talks to America about why she's leaving NBC. ...",M,0,Actor
S2,Ep4,2,4,10/16/1976,1976,Karen Black,Karen Black,John Prine,"The host for the episode is Karen Black, and the musical guest is John Prine. The skits for this episode are as follows: Chevy Chase returns after his injury and is pushed out of his wheelchair by John Belushi. Karen Black talks about her son and great mothers in history during her opening monologue. Baba Wawa interviews Indira Gandhi. Ford and Carter have another unusual debate. A re-run ad pitches amazing new triple-bladed razors. Amish crime fighters help out victims when catching crooks quickly isn't a priority. A wife feeds her husband Green Cross cupcakes since ...",F,1,Actor
S2,Ep5,2,5,10/23/1976,1976,Steve Martin,Steve Martin,Kinky Friedman,"The host for the episode is Steve Martin, and the musical guest is Kinky Friedman. The skits for this episode are as follows: The coach of the Yankees consoles his team after losing the World Series, and one of the players gives him their final decision. Chevy Chase attempts to make an endorsement for milk, but keeps adding in its less pleasant effects. An episode of Jeopardy from 1999 gives a look at some social changes in the future. During the Weekend Update, Chevy comments on Jimmy Carter's cross-dressing, the latest election poll results, a mafia funeral in a ...",M,0,Comedian
S2,Ep6,2,6,10/30/1976,1976,Buck Henry,Buck Henry,The Band,"The host for the episode is Buck Henry (his third appearance), and the musical guest is The Band. The skits for this episode are as follows: The land shark makes its return, pretending to be a late trick-or-treater. In his opening monologue, Buck Henry praises the cast for being able to perform so professionally in light of how absolutely messed up their personal lives are. The samurai stockbroker loses one of his clients after a string of bad advice. Baba Wawa has a joint interview with First Ladies Betty Ford and Rosalynn Carter. Garrett Morris discuss his own roots...",M,0,Other
S2,Ep7,2,7,11/13/1976,1976,Dick Cavett,Dick Cavett,Ry Cooder,"The host for the episode is Dick Cavett (his second appearance), and the musical guest is Ry Cooder. The skits for this episode are as follows: The Chroma-Trak girl gets her colors mixed up during broadcast. Dick Cavett fields questions from the audience during his opening monologue. John Dean looks back on Nixon trying to frame him for Watergate. During the Weekend Update, Laraine Newman reports on the death and cremation of Smokey the Bear. A marine walks down the street, looking to pick up a few good men. A psychiatrist makes house calls. The Bees talk about how ...",M,0,Other
S2,Ep8,2,8,11/20/1976,1976,Paul Simon,Paul Simon,George Harrison,"The host for the episode is Paul Simon (his second appearance), and the musical guest is George Harrison. The skits for this episode are as follows: George Harrison feels that he should receive the $3000 Lorne Michaels promised the Beatles for appearing on the show, while Paul Simon has doubts about the costume he's been asked to wear. Paul Simon starts to sing ""Still Crazy After All These Years"" dressed as a turkey, but gives up halfway through and tells Lorne he won't do it. A housewife raves about mineral-packed Quarry cereal. Baba Wawa interviews Henry Kissenger. ...",M,0,Musician
S2,Ep9,2,9,11/27/1976,1976,Jodie Foster,Jodie Foster,Brian Wilson,"The host for the episode is Jodie Foster, and the musical guest is Brian Wilson. The skits for this episode are as follows: Gilda Radner opens the show to explain why she won't be appearing much, while caption explain that she's been fired. Jodie Foster explains in her opening monologue that she's treated just like every other guest even though she's just 14. Chevy Chase advertises convenient feedbag dinners. Two Bees come into a girl's room claiming they're Peter Pan and Tinkerbee. Jodie demonstrates the new Puberty Helper to get teens through their awkward years. A ...",F,1,Actor
S2,Ep10,2,10,12/11/1976,1976,Candice Bergen,Candice Bergen,Frank Zappa,"The host for the episode is Candice Bergen (her third appearance), and the musical guest is Frank Zappa. The skits for this episode are as follows: For the opening, Patty Hearst enjoys a Christmas back with her family. Instead of doing her opening monologue, Candice Bergen hides in her dressing room and has to be coaxed out by John Belushi doing a Humphrey Bogart impression. President-elect Carter admits he can't follow through on all the things he promised during the campaign. A pitchman convinces a woman to use Santi-Wrap before sitting on the lap of a disreputable ...",F,1,Actor
S2,Ep11,2,11,01/15/1977,1977,Ralph Nader,Ralph Nader,George Benson,"The host for the episode is Ralph Nader, and the musical guest is George Benson. The skits for this episode are as follows: Ralph Nader announces that he's going to relax and have fun for this week's show, but soon begins lecturing everyone on safety hazards throughout the studio. During Ralph's opening monologue, he rails against NBC's parent corporation, RCA, only to be cut off by a technical glitch. A grandfather waiting for his grandson to call starts ranting about the boy's thoughtlessness. A convict goes through a dress rehearsal for a televised execution. Baba ...",M,0,Other
S2,Ep12,2,12,01/22/1977,1977,Ruth Gordon,Ruth Gordon,Chuck Berry,"The host for the episode is Ruth Gordon, and the musical guest is Chuck Berry. The skits for this episode are as follows: John Belushi's doctor announces that he will cut off the cast's drug supply if they don't put John in tonight's show. Barbra Streisand performs a song that's all about herself. Emily Litella visits with her sister to talk about current events. Dino De Laurentiis gives an interview with Tom Snyder about his new remake of King Kong, claiming that his ape was much easier to work with than the original Kong. During the Weekend Update, Laraine Newman ...",F,1,Actor
S2,Ep13,2,13,01/29/1977,1977,Fran Tarkenton,Fran Tarkenton,"Leo Sayer, Donnie Harper and the Voices of Tomorrow","The host for the episode is Fran Tarkenton, and the musical guests are Leo Sayer and The Donny Harper Singers. The skits for this episode are as follows: John Belushi gives Fran Tarkenton a pre-game pep talk. Bill Murray provides color commentary as Fran sings ""Feelings"" for his opening monologue. A salesman pitches multi-purpose Swiss Army guns. Amy Carter goes to class and uses the Secret Service to cheat on a quiz. A football coach sends his player back in the game, despite his missing a limb. Garrett Morris interviews Fran on the subject of black quarterbacks. A ...",M,0,Sports
S2,Ep14,2,14,02/20/1977,1977,None,None,Randy Newman,"There's no host for this broadcast. Randy Newman is the musical guest for this episode, which is performed live in New Orleans for the Mardi Gras celebration. The skits for this episode are as follows: President Carter attempts to inspire Americans with a speech delivered from the rear end of a statue of Andrew Jackson on his horse, while Rosalyn frets over the fact that Jimmy has been up there for two days. For his opening monologue, Randy Newman sings about the floods that damaged New Orleans, then announces that SNL teams are in place to cover the passing of the ...",N,9,None
S2,Ep15,2,15,02/26/1977,1977,Steve Martin,Steve Martin,The Kinks,"The host for the episode is Steve Martin (his second appearance), and the musical guest is The Kinks. The skits for this episode are as follows: Steve gets hostility from the cast over his treatment of Gilda since the last show. For his opening monologue, Steve gets happy feet, talks about his goals, then mentions what drugs he and the cast are going to take after the show. The Coneheads receive a visit from the IRS. Jackie Onassis enters a celebrity weightlifting contest. A diet book promises weight loss by using the pages of the book itself as meals. A doctor ...",M,0,Comedian
S2,Ep16,2,16,03/12/1977,1977,Sissy Spacek,Sissy Spacek,Richard Baskin,"The host for the episode is Sissy Spacek, and the musical guest is Richard Baskin. The skits for this episode are as follows: Following the death of director Dave Wilson, the show's future is in jeopardy. Sissy Spacek performs a baton twirling scene that was cut from Carrie. A burger restaurant prepares burgers according to the customers' bizarre specifications. President Carter answers call-in questions with very specific answers. A doctor is interviewed about a condition called quintlexia, which he suffers from. John Belushi announces that he's retiring from show ...",F,1,Actor
S2,Ep17,2,17,03/19/1977,1977,Broderick Crawford,Broderick Crawford,"Levon Helm, Dr. John, The Meters","The host for the episode is Broderick Crawford, and the musical guests are Levon Helm, Dr. John and The Meters. The skits for this episode are as follows: Rhonda Weiss and the Rhondettes sing a goodbye song to saccharine. Broderick Crawford recounts his first failed attempt to work for NBC. The samurai hit-man carries out his work disguised as a chef at Benihana. Mel's Hide Heaven lets people pick the animal they want their clothes made from. Bill Murray makes a plea to the audience for more support. A parody of I Love Lucy has Lucy putting whipped cream on nuclear ...",M,0,Other
S2,Ep18,2,18,03/26/1977,1977,Jack Burns,Jack Burns,Santana,"The host for the episode is Jack Burns, and the musical guest is Santana. The skits for this episode are as follows: John Belushi holds the network hostage and has to be tricked into saying the opening lines. Jack Burns gets to touch himself during the opening monologue. The Farbers invite the Coneheads over for drinks and dinner. A marine couple is married by a tough chaplain. Eliot Ness overthrows Indira Gandhi as part of the Untouchables. During the Weekend Update, the winners of the Oscars are announced from envelopes stolen before the ceremony. A pharmacist ...",M,0,Other
S2,Ep19,2,19,04/09/1977,1977,Julian Bond,Julian Bond,"Tom Waits, Brick","The host for the episode is Julian Bond, and the musical guests are Tom Waits and Brick. The skits for this episode are as follows: Emily Litella sings that her lover makes her feel like a national woman. An accountant advertises his tax preparation services from behind bars. On Black Perspectives, Julian Bond explains that light-skinned blacks are smarter than dark-skinned blacks. The mysterious Dr. X helps counsel a family through their problems. A model for Ebony advertises a hair lustre that comes in a fist-shaped can. During the Weekend Update, Jane Curtain is ...",M,0,Other
S2,Ep20,2,20,04/16/1977,1977,Elliott Gould,Elliott Gould,Kate & Anna McGarrigle & Roslyn Kind,"The host for the episode is Eliott Gould (his third appearance), and the musical guests are Kate & Anna McGarrigle and Roslyn Kind. The skits for this episode are as follows: Soviet Premier Brezhnev negotiates an appearance on the Tonight Show. Eliot Gould sings ""The Castration Walk"" for his open monologue. The Coneheads have 35 phones installed in their house, and receive an emissary from Remulak who asks about their progress. A men's advocacy group offers inspirational advice for men, as well as a rape hot-line. During the Weekend Update, Bill Murray reports on an ...",M,0,Actor
S2,Ep21,2,21,04/23/1977,1977,Eric Idle,Eric Idle,Neil Innes,"The host for the episode is Eric Idle (his second appearance), and the musical guests are Alan Price and Neil Innes. The skits for this episode are as follows: A British soldier interrogates an Irish prisoner by torturing a potato. During his opening monologue, Eric Idle joins the Queen in hosting a telethon to help save England, and over the course of the show manages to raise $20. The pot growers of America urge everyone to buy locally. Nixon gives an interview to David Frost but turns out to be terribly boring. During the Weekend Update, Jane Curtain reports on an ...",M,0,Actor
S2,Ep22,2,22,05/14/1977,1977,Shelley Duvall,Shelley Duvall,Joan Armatrading,"The host for the episode is Shelley Duvall, and the musical guest is Joan Armatrading. The skits for this episode are as follows: The opening act is interrupted by an announcement that NBC wants to get their money's worth out of the recent Bobick-Norton fight by replaying it at the start of every show. The women of the show sing as the Video Vixens. A bank robber is upset that his disguise isn't as good as those of the other members of his gang. Three women are joined in a restaurant by three men arguing over which one is Ricardo Montalban. During the Weekend Update, ...",F,1,Actor
S2,Ep23,2,23,05/21/1977,1977,Buck Henry,Buck Henry,Jennifer Warnes & Kenny Vance,"The host for the episode is Buck Henry (his fourth appearance), and the musical guests are Jennifer Warnes and Kenny Vance. The skits for this episode are as follows: President Carter delivers a message to the people urging them to switch to electric power. Buck Henry tries to get an audience member to have sex with him on stage during his opening monologue. The Samurai college student faces disciplinary action for his poor grades. A man in the shower pretends to host a talk show, but surprises his wife by producing her secret lover as a guest. The Coneheads fly back ...",M,0,Other
S3,Ep1,3,1,09/24/1977,1977,Steve Martin,Steve Martin,Jackson Browne,"The host for the episode is Steve Martin (his third appearance), and the musical guest is Jackson Browne. The skits for this episode are as follows: Burt Lance, President Carter's budget management director, pitches the National Express charge card after being asked to resign. During his opening monologue, Steve Martin promotes his new album and confesses that his cat has been embezzling from him. An ad introduces a watch so complex that it requires two people to operate it. The wild and crazy Festrunk brothers try to pick up two girls in their apartment rec room. A ...",M,0,Comedian
S3,Ep2,3,2,10/08/1977,1977,Madeline Kahn,Madeline Kahn,Taj Mahal,"The host for the episode is Madeline Kahn (her second appearance), and the musical guest is Taj Mahal. The skits for this episode are as follows: After the opening monologue, a man talks about his favorite drink: Swill, a mineral water straight from Lake Erie. Leonard Plinth-Garnell provides a review of bad opera. The cast announces the first ""Anyone Can Host"" contest, in which a viewer from home will be chosen to host the show. Bianca Jagger talks with some of her close friends. A show takes a retrospective of the acid generation and tracks down where they've gone. ...",F,1,Actor
S3,Ep3,3,3,10/15/1977,1977,Hugh Hefner,Hugh Hefner,Libby Titus,"The host for the episode is Hugh Hefner, and the musical guest is Libby Titus. The skits for this episode are as follows: A Playboy bunny flubs a number of party jokes. For his opening monologue, Hugh Hefner comes out in his pajamas and sings ""Thank Heaven for Little Girls"". A housewife praises her new soap that contains tranquilizers. The Planet of the Men does battle with the Planet of the Women in genital-shaped spacecraft. The X-Police burst in on a couple smoking pot and brutally beat them. The host of a music appreciation show starts hallucinating to Wagner. ...",M,0,Other
S3,Ep4,3,4,10/29/1977,1977,Charles Grodin,Charles Grodin,Paul Simon,"In this classic infamous episode, the guest host - comedian Charles Grodin, apologizes in his opening monologue in a semi-serious fashion to the audience for not having time to prepare for the show because he went shopping. Chaos ensues.",M,0,Actor
S3,Ep5,3,5,11/12/1977,1977,Ray Charles,Ray Charles,None,"The host and musical guest for the episode is Ray Charles. The skits for this episode are as follows: The Godfather discusses with Tom Hagen the effects of letting NBC do a series about their life, and whether they should allow this to continue. During his opening monologue, Ray Charles talks about what SNL had to do to get him to come on the show. President Carter delivers a message to the United States. Howdy Doody's widow talks about life with the former star. Tom Snyder talks about returning to New York and interviews Ray Charles. Evelyn Woodski offers people the ...",M,0,Musician
S3,Ep6,3,6,11/19/1977,1977,Buck Henry,Buck Henry,Leon Redbone,"The host for the episode is Buck Henry (his fifth appearance), and the musical guest is Leon Redbone (his third appearance). The skits for this episode are as follows: Gilda and Garrett introduce the five finalists in the ""Anyone Can Host"" contest, including an 80-year-old grandmother from New Orleans and the governor of South Dakota. During his opening segment, Buck Henry greets and interviews the five finalists. John Belushi credits his success in the decathlon to eating little chocolate donuts. The samurai psychiatrist commits suicide after angering his patient. A ...",M,0,Actor
S3,Ep7,3,7,12/10/1977,1977,Mary Kay Place,Mary Kay Place,Willie Nelson,"The host for the episode is Mary Kay Place, and the musical guest is Willie Nelson. The skits for this episode are as follows: At the start of the show, the cast decides to make this episode the peppiest ever. A perfume called Hey You is advertised as perfect for one-night stands. A speaker talks about dangerous and harmful insects. Leonard Plinth-Garnell gives his reviews of bad musicals. Bobbi Farber talks about the meaning of Hanukkah. Willie Nelson performs ""Whiskey River"", Blue Eyes Crying in the Rain"" and ""Something to Brag About"" (with Mary Kay Place).",F,1,Actor
S3,Ep8,3,8,12/17/1977,1977,Miskel Spillman,Miskel Spillman,Elvis Costello,"The show was notable for Elvis Costello and the Attractions beginning their song ""Less than Zero"" about British wartime fascist leader Oswald Mosley then quickly stopping it, with Elvis announcing ""I'm sorry, Ladies and Gentlemen, there's no reason to do this song here"". This apparently led to Costello's being barred from SNL for over 10 years.",M,0,Other
S3,Ep9,3,9,01/21/1978,1978,Steve Martin,Steve Martin,"Randy Newman, Dirt Band","The host for the episode is Steve Martin (his fourth appearance), and the musical guests are Randy Newman (his second appearance) and the Dirt Band. The skits for this episode are as follows: President Carter gives his State of the Union address, but the members of Congress are bored by it. During his opening monologue, Steve Martin accuses John Belushi of stealing from him, then explains how to avoid paying taxes. A forest ranger talks with a mountaineer without realizing the man is actually Bigfoot. The Festrunk brothers meet up with their computer dates from ...",M,0,Comedian
